dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
1000,16,256,67,100,0.0,client,online,round0,0.005182756925933063
1000,16,256,67,100,0.0,client,online,round0,0.0011005739215761423
1000,16,256,67,100,0.0,client,online,round0,0.001943852985277772
1000,16,256,67,100,0.0,client,online,round0,0.0013104339595884085
1000,16,256,67,100,0.0,client,online,round0,0.00124100293032825
1000,16,256,67,100,0.0,client,online,round0,0.001230209949426353
1000,16,256,67,100,0.0,client,online,round0,0.0013829950476065278
1000,16,256,67,100,0.0,client,online,round0,0.0010347450152039528
1000,16,256,67,100,0.0,client,online,round0,0.0010418019955977798
1000,16,256,67,100,0.0,client,online,round0,0.0013063160004094243
1000,16,256,67,100,0.0,client,online,round0,0.0010889270342886448
1000,16,256,67,100,0.0,client,online,round0,0.0011444019619375467
1000,16,256,67,100,0.0,client,online,round0,0.0010678119724616408
1000,16,256,67,100,0.0,client,online,round0,0.0010936559410765767
1000,16,256,67,100,0.0,client,online,round0,0.0011667070211842656
1000,16,256,67,100,0.0,client,online,round0,0.0010878220200538635
1000,16,256,67,100,0.0,client,online,round0,0.001091215992346406
1000,16,256,67,100,0.0,client,online,round0,0.0010720710270106792
1000,16,256,67,100,0.0,client,online,round0,0.0010372539982199669
1000,16,256,67,100,0.0,client,online,round0,0.0010604519629850984
1000,16,256,67,100,0.0,client,online,round0,0.0010560689261183143
1000,16,256,67,100,0.0,client,online,round0,0.0009828360052779317
1000,16,256,67,100,0.0,client,online,round0,0.001054493011906743
1000,16,256,67,100,0.0,client,online,round0,0.0010485800448805094
1000,16,256,67,100,0.0,client,online,round0,0.0009038930293172598
1000,16,256,67,100,0.0,client,online,round0,0.0010437279706820846
1000,16,256,67,100,0.0,client,online,round0,0.0010568840662017465
1000,16,256,67,100,0.0,client,online,round0,0.001109949080273509
1000,16,256,67,100,0.0,client,online,round0,0.0009964760392904282
1000,16,256,67,100,0.0,client,online,round0,0.0012203250080347061
1000,16,256,67,100,0.0,client,online,round0,0.0010224150028079748
1000,16,256,67,100,0.0,client,online,round0,0.0010439349571242929
1000,16,256,67,100,0.0,client,online,round0,0.001000537071377039
1000,16,256,67,100,0.0,client,online,round0,0.0009049349464476109
1000,16,256,67,100,0.0,client,online,round0,0.0010504460660740733
1000,16,256,67,100,0.0,client,online,round0,0.0013464340008795261
1000,16,256,67,100,0.0,client,online,round0,0.0009573920397087932
1000,16,256,67,100,0.0,client,online,round0,0.001197736943140626
1000,16,256,67,100,0.0,client,online,round0,0.0009231069125235081
1000,16,256,67,100,0.0,client,online,round0,0.0009710750309750438
1000,16,256,67,100,0.0,client,online,round0,0.0008749039843678474
1000,16,256,67,100,0.0,client,online,round0,0.0017199850408360362
1000,16,256,67,100,0.0,client,online,round0,0.0019603539258241653
1000,16,256,67,100,0.0,client,online,round0,0.001864937017671764
1000,16,256,67,100,0.0,client,online,round0,0.0018150670221075416
1000,16,256,67,100,0.0,client,online,round0,0.001061743008904159
1000,16,256,67,100,0.0,client,online,round0,0.0008995039388537407
1000,16,256,67,100,0.0,client,online,round0,0.0009039340075105429
1000,16,256,67,100,0.0,client,online,round0,0.001017499016597867
1000,16,256,67,100,0.0,client,online,round0,0.0009487880161032081
1000,16,256,67,100,0.0,client,online,round0,0.0009904660983011127
1000,16,256,67,100,0.0,client,online,round0,0.0008852099999785423
1000,16,256,67,100,0.0,client,online,round0,0.0009854889940470457
1000,16,256,67,100,0.0,client,online,round0,0.0008970400085672736
1000,16,256,67,100,0.0,client,online,round0,0.000851555960252881
1000,16,256,67,100,0.0,client,online,round0,0.0009775579674169421
1000,16,256,67,100,0.0,client,online,round0,0.0009389279875904322
1000,16,256,67,100,0.0,client,online,round0,0.0009078390430659056
1000,16,256,67,100,0.0,client,online,round0,0.0010819850722327828
1000,16,256,67,100,0.0,client,online,round0,0.0009993219282478094
1000,16,256,67,100,0.0,client,online,round0,0.0009782189736142755
1000,16,256,67,100,0.0,client,online,round0,0.000983081990852952
1000,16,256,67,100,0.0,client,online,round0,0.0009148280369117856
1000,16,256,67,100,0.0,client,online,round0,0.0008972469950094819
