dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
1000,16,256,667,1000,0.3,client,online,round0,0.004848797980230302
1000,16,256,667,1000,0.3,client,online,round0,0.001105538016417995
1000,16,256,667,1000,0.3,client,online,round0,0.0011762429785449058
1000,16,256,667,1000,0.3,client,online,round0,0.0009694350010249764
1000,16,256,667,1000,0.3,client,online,round0,0.0010219129908364266
1000,16,256,667,1000,0.3,client,online,round0,0.0009867940098047256
1000,16,256,667,1000,0.3,client,online,round0,0.0009674649918451905
1000,16,256,667,1000,0.3,client,online,round0,0.0010451469861436635
1000,16,256,667,1000,0.3,client,online,round0,0.0009336619987152517
1000,16,256,667,1000,0.3,client,online,round0,0.0009377190144732594
1000,16,256,667,1000,0.3,client,online,round0,0.0009785029978957027
1000,16,256,667,1000,0.3,client,online,round0,0.0009785919974092394
1000,16,256,667,1000,0.3,client,online,round0,0.0009895919938571751
1000,16,256,667,1000,0.3,client,online,round0,0.0009632250003051013
1000,16,256,667,1000,0.3,client,online,round0,0.0010269279882777482
1000,16,256,667,1000,0.3,client,online,round0,0.0009689700091257691
1000,16,256,667,1000,0.3,client,online,round0,0.000995707989204675
1000,16,256,667,1000,0.3,client,online,round0,0.0009526890062261373
1000,16,256,667,1000,0.3,client,online,round0,0.0009844719897955656
1000,16,256,667,1000,0.3,client,online,round0,0.0009436969994567335
1000,16,256,667,1000,0.3,client,online,round0,0.0008997710247058421
1000,16,256,667,1000,0.3,client,online,round0,0.0009908049833029509
1000,16,256,667,1000,0.3,client,online,round0,0.0009663619857747108
1000,16,256,667,1000,0.3,client,online,round0,0.0009576809825375676
1000,16,256,667,1000,0.3,client,online,round0,0.0009915799892041832
1000,16,256,667,1000,0.3,client,online,round0,0.0009705270058475435
1000,16,256,667,1000,0.3,client,online,round0,0.0009317779913544655
1000,16,256,667,1000,0.3,client,online,round0,0.000968140026088804
1000,16,256,667,1000,0.3,client,online,round0,0.0009681580122560263
1000,16,256,667,1000,0.3,client,online,round0,0.0010052690049633384
1000,16,256,667,1000,0.3,client,online,round0,0.0009925249905791134
1000,16,256,667,1000,0.3,client,online,round0,0.0009212260192725807
1000,16,256,667,1000,0.3,client,online,round0,0.0009504639892838895
1000,16,256,667,1000,0.3,client,online,round0,0.0009991329861804843
1000,16,256,667,1000,0.3,client,online,round0,0.0009660529904067516
1000,16,256,667,1000,0.3,client,online,round0,0.0009079280134756118
1000,16,256,667,1000,0.3,client,online,round0,0.0010298709967173636
1000,16,256,667,1000,0.3,client,online,round0,0.0009072610118892044
1000,16,256,667,1000,0.3,client,online,round0,0.000971237983321771
1000,16,256,667,1000,0.3,client,online,round0,0.0010097050108015537
1000,16,256,667,1000,0.3,client,online,round0,0.0009888490021694452
1000,16,256,667,1000,0.3,client,online,round0,0.0009604480001144111
1000,16,256,667,1000,0.3,client,online,round0,0.0009606459934730083
1000,16,256,667,1000,0.3,client,online,round0,0.00098651900771074
1000,16,256,667,1000,0.3,client,online,round0,0.0009478820138610899
1000,16,256,667,1000,0.3,client,online,round0,0.0009186269890051335
1000,16,256,667,1000,0.3,client,online,round0,0.0009502199827693403
1000,16,256,667,1000,0.3,client,online,round0,0.0009287319844588637
1000,16,256,667,1000,0.3,client,online,round0,0.0009558720048516989
1000,16,256,667,1000,0.3,client,online,round0,0.0010315309918951243
1000,16,256,667,1000,0.3,client,online,round0,0.0008962299907580018
1000,16,256,667,1000,0.3,client,online,round0,0.0009457269916310906
1000,16,256,667,1000,0.3,client,online,round0,0.0009892309899441898
1000,16,256,667,1000,0.3,client,online,round0,0.0008728750108275563
1000,16,256,667,1000,0.3,client,online,round0,0.0009592680144123733
1000,16,256,667,1000,0.3,client,online,round0,0.0010708729969337583
1000,16,256,667,1000,0.3,client,online,round0,0.0008751660061534494
1000,16,256,667,1000,0.3,client,online,round0,0.0009532869735267013
1000,16,256,667,1000,0.3,client,online,round0,0.0009209760173689574
1000,16,256,667,1000,0.3,client,online,round0,0.0009900119912344962
1000,16,256,667,1000,0.3,client,online,round0,0.0010239389957860112
1000,16,256,667,1000,0.3,client,online,round0,0.0010376430000178516
1000,16,256,667,1000,0.3,client,online,round0,0.0009857559925876558
1000,16,256,667,1000,0.3,client,online,round0,0.0009646569960750639
1000,16,256,667,1000,0.3,client,online,round0,0.0009519660088699311
1000,16,256,667,1000,0.3,client,online,round0,0.0009171540150418878
1000,16,256,667,1000,0.3,client,online,round0,0.0009618260082788765
1000,16,256,667,1000,0.3,client,online,round0,0.000965893006650731
1000,16,256,667,1000,0.3,client,online,round0,0.0009355339861940593
1000,16,256,667,1000,0.3,client,online,round0,0.0009113889827858657
1000,16,256,667,1000,0.3,client,online,round0,0.0009648519917391241
1000,16,256,667,1000,0.3,client,online,round0,0.0009286540152970701
1000,16,256,667,1000,0.3,client,online,round0,0.0009639390045776963
1000,16,256,667,1000,0.3,client,online,round0,0.0010253509972244501
1000,16,256,667,1000,0.3,client,online,round0,0.0009982390038203448
1000,16,256,667,1000,0.3,client,online,round0,0.0009739620145410299
1000,16,256,667,1000,0.3,client,online,round0,0.0009505210036877543
1000,16,256,667,1000,0.3,client,online,round0,0.0008701369806658477
1000,16,256,667,1000,0.3,client,online,round0,0.0009633610025048256
1000,16,256,667,1000,0.3,client,online,round0,0.0010884650109801441
1000,16,256,667,1000,0.3,client,online,round0,0.0009778369858395308
1000,16,256,667,1000,0.3,client,online,round0,0.0008919460233300924
1000,16,256,667,1000,0.3,client,online,round0,0.0010558260255493224
1000,16,256,667,1000,0.3,client,online,round0,0.0009560789912939072
1000,16,256,667,1000,0.3,client,online,round0,0.0009441509901080281
1000,16,256,667,1000,0.3,client,online,round0,0.0009735409985296428
1000,16,256,667,1000,0.3,client,online,round0,0.0009641560027375817
1000,16,256,667,1000,0.3,client,online,round0,0.0008806289988569915
1000,16,256,667,1000,0.3,client,online,round0,0.0009370659827254713
1000,16,256,667,1000,0.3,client,online,round0,0.0010051919962279499
1000,16,256,667,1000,0.3,client,online,round0,0.0009522539912723005
1000,16,256,667,1000,0.3,client,online,round0,0.0010510089923627675
1000,16,256,667,1000,0.3,client,online,round0,0.0009072569955606014
1000,16,256,667,1000,0.3,client,online,round0,0.0010360429878346622
1000,16,256,667,1000,0.3,client,online,round0,0.0010114010074175894
1000,16,256,667,1000,0.3,client,online,round0,0.0010489370033610612
1000,16,256,667,1000,0.3,client,online,round0,0.0009831560018938035
1000,16,256,667,1000,0.3,client,online,round0,0.0008707219967618585
1000,16,256,667,1000,0.3,client,online,round0,0.0008957689860835671
1000,16,256,667,1000,0.3,client,online,round0,0.0009720630187075585
1000,16,256,667,1000,0.3,client,online,round0,0.0009834339725784957
1000,16,256,667,1000,0.3,client,online,round0,0.00090853899018839
1000,16,256,667,1000,0.3,client,online,round0,0.0009933469991665334
1000,16,256,667,1000,0.3,client,online,round0,0.000999863987090066
1000,16,256,667,1000,0.3,client,online,round0,0.0010803559853229672
1000,16,256,667,1000,0.3,client,online,round0,0.0009577339806128293
1000,16,256,667,1000,0.3,client,online,round0,0.0010093229939229786
1000,16,256,667,1000,0.3,client,online,round0,0.0009692409948911518
1000,16,256,667,1000,0.3,client,online,round0,0.0009932490065693855
1000,16,256,667,1000,0.3,client,online,round0,0.0010038370091933757
1000,16,256,667,1000,0.3,client,online,round0,0.0009587290114723146
1000,16,256,667,1000,0.3,client,online,round0,0.0009716420026961714
1000,16,256,667,1000,0.3,client,online,round0,0.0010719640122260898
1000,16,256,667,1000,0.3,client,online,round0,0.0010007660021074116
1000,16,256,667,1000,0.3,client,online,round0,0.001024785975459963
1000,16,256,667,1000,0.3,client,online,round0,0.000960707024205476
1000,16,256,667,1000,0.3,client,online,round0,0.0008682869956828654
1000,16,256,667,1000,0.3,client,online,round0,0.0010477830073796213
1000,16,256,667,1000,0.3,client,online,round0,0.0009659030183684081
1000,16,256,667,1000,0.3,client,online,round0,0.0009276949858758599
1000,16,256,667,1000,0.3,client,online,round0,0.0008998670091386884
1000,16,256,667,1000,0.3,client,online,round0,0.000922996987355873
1000,16,256,667,1000,0.3,client,online,round0,0.0010136660130228847
1000,16,256,667,1000,0.3,client,online,round0,0.0009014829993247986
1000,16,256,667,1000,0.3,client,online,round0,0.0008853299950715154
1000,16,256,667,1000,0.3,client,online,round0,0.0009590080007910728
1000,16,256,667,1000,0.3,client,online,round0,0.000890232011443004
1000,16,256,667,1000,0.3,client,online,round0,0.0010359959851484746
1000,16,256,667,1000,0.3,client,online,round0,0.0009543769992887974
1000,16,256,667,1000,0.3,client,online,round0,0.0009717660141177475
1000,16,256,667,1000,0.3,client,online,round0,0.0009257220081053674
1000,16,256,667,1000,0.3,client,online,round0,0.001030161016387865
1000,16,256,667,1000,0.3,client,online,round0,0.0009670820145402104
1000,16,256,667,1000,0.3,client,online,round0,0.0009678109781816602
1000,16,256,667,1000,0.3,client,online,round0,0.0010073799930978566
1000,16,256,667,1000,0.3,client,online,round0,0.0008864030241966248
1000,16,256,667,1000,0.3,client,online,round0,0.0009187280084006488
1000,16,256,667,1000,0.3,client,online,round0,0.0009601089986972511
1000,16,256,667,1000,0.3,client,online,round0,0.0009883969905786216
1000,16,256,667,1000,0.3,client,online,round0,0.000920049991691485
1000,16,256,667,1000,0.3,client,online,round0,0.001079940004274249
1000,16,256,667,1000,0.3,client,online,round0,0.000884730980033055
1000,16,256,667,1000,0.3,client,online,round0,0.0009604480001144111
1000,16,256,667,1000,0.3,client,online,round0,0.000979539006948471
1000,16,256,667,1000,0.3,client,online,round0,0.0010004940268117934
1000,16,256,667,1000,0.3,client,online,round0,0.001004087011096999
1000,16,256,667,1000,0.3,client,online,round0,0.000939630001084879
1000,16,256,667,1000,0.3,client,online,round0,0.0008935729856602848
1000,16,256,667,1000,0.3,client,online,round0,0.0009761649998836219
1000,16,256,667,1000,0.3,client,online,round0,0.00098230000003241
1000,16,256,667,1000,0.3,client,online,round0,0.0009919579897541553
1000,16,256,667,1000,0.3,client,online,round0,0.001046002988005057
1000,16,256,667,1000,0.3,client,online,round0,0.0009595349838491529
1000,16,256,667,1000,0.3,client,online,round0,0.000995793001493439
1000,16,256,667,1000,0.3,client,online,round0,0.0009996109874919057
1000,16,256,667,1000,0.3,client,online,round0,0.000977210991550237
1000,16,256,667,1000,0.3,client,online,round0,0.0009693100000731647
1000,16,256,667,1000,0.3,client,online,round0,0.0008882220136001706
1000,16,256,667,1000,0.3,client,online,round0,0.0010260900016874075
1000,16,256,667,1000,0.3,client,online,round0,0.001010692009003833
1000,16,256,667,1000,0.3,client,online,round0,0.0010168439766857773
1000,16,256,667,1000,0.3,client,online,round0,0.0009417709952685982
1000,16,256,667,1000,0.3,client,online,round0,0.0010155750205740333
1000,16,256,667,1000,0.3,client,online,round0,0.000941190985031426
1000,16,256,667,1000,0.3,client,online,round0,0.0010517199989408255
1000,16,256,667,1000,0.3,client,online,round0,0.00097366698901169
1000,16,256,667,1000,0.3,client,online,round0,0.0009999409958254546
1000,16,256,667,1000,0.3,client,online,round0,0.0010382199834566563
1000,16,256,667,1000,0.3,client,online,round0,0.0009469229844398797
1000,16,256,667,1000,0.3,client,online,round0,0.0009905399929266423
1000,16,256,667,1000,0.3,client,online,round0,0.000885563000338152
1000,16,256,667,1000,0.3,client,online,round0,0.0010147780121769756
1000,16,256,667,1000,0.3,client,online,round0,0.0008921989938244224
1000,16,256,667,1000,0.3,client,online,round0,0.000983609992545098
1000,16,256,667,1000,0.3,client,online,round0,0.0009979030000977218
1000,16,256,667,1000,0.3,client,online,round0,0.0010357809951528907
1000,16,256,667,1000,0.3,client,online,round0,0.0011171100195497274
1000,16,256,667,1000,0.3,client,online,round0,0.0009478080028202385
1000,16,256,667,1000,0.3,client,online,round0,0.0010429279936943203
1000,16,256,667,1000,0.3,client,online,round0,0.0009029779757838696
1000,16,256,667,1000,0.3,client,online,round0,0.0009727419819682837
1000,16,256,667,1000,0.3,client,online,round0,0.0009748270094860345
1000,16,256,667,1000,0.3,client,online,round0,0.000900354003533721
1000,16,256,667,1000,0.3,client,online,round0,0.0009057070128619671
1000,16,256,667,1000,0.3,client,online,round0,0.0010551979939918965
1000,16,256,667,1000,0.3,client,online,round0,0.001028254017001018
1000,16,256,667,1000,0.3,client,online,round0,0.0009239810169674456
1000,16,256,667,1000,0.3,client,online,round0,0.0009858730190899223
1000,16,256,667,1000,0.3,client,online,round0,0.0009565729997120798
1000,16,256,667,1000,0.3,client,online,round0,0.0008870999736245722
1000,16,256,667,1000,0.3,client,online,round0,0.0009772170160431415
1000,16,256,667,1000,0.3,client,online,round0,0.0010235630034003407
1000,16,256,667,1000,0.3,client,online,round0,0.0009367110033053905
1000,16,256,667,1000,0.3,client,online,round0,0.0009699579968582839
1000,16,256,667,1000,0.3,client,online,round0,0.0009312930051237345
1000,16,256,667,1000,0.3,client,online,round0,0.00091593898832798
1000,16,256,667,1000,0.3,client,online,round0,0.000998511997750029
1000,16,256,667,1000,0.3,client,online,round0,0.0009005680039990693
1000,16,256,667,1000,0.3,client,online,round0,0.0009899289871100336
1000,16,256,667,1000,0.3,client,online,round0,0.000928861991269514
1000,16,256,667,1000,0.3,client,online,round0,0.0010091669973917305
1000,16,256,667,1000,0.3,client,online,round0,0.0009455250110477209
1000,16,256,667,1000,0.3,client,online,round0,0.000991859007626772
1000,16,256,667,1000,0.3,client,online,round0,0.0009315479837823659
1000,16,256,667,1000,0.3,client,online,round0,0.0009826899913605303
1000,16,256,667,1000,0.3,client,online,round0,0.0009629160049371421
1000,16,256,667,1000,0.3,client,online,round0,0.0009434539824724197
1000,16,256,667,1000,0.3,client,online,round0,0.000949601992033422
1000,16,256,667,1000,0.3,client,online,round0,0.0009705319826025516
1000,16,256,667,1000,0.3,client,online,round0,0.0009497090068180114
1000,16,256,667,1000,0.3,client,online,round0,0.0010018099856097251
1000,16,256,667,1000,0.3,client,online,round0,0.0009120409958995879
1000,16,256,667,1000,0.3,client,online,round0,0.0009118689922615886
1000,16,256,667,1000,0.3,client,online,round0,0.0010213759960606694
1000,16,256,667,1000,0.3,client,online,round0,0.0009190549899358302
1000,16,256,667,1000,0.3,client,online,round0,0.0009311350004281849
1000,16,256,667,1000,0.3,client,online,round0,0.0009918569994624704
1000,16,256,667,1000,0.3,client,online,round0,0.0010020629852078855
1000,16,256,667,1000,0.3,client,online,round0,0.0009635319875087589
1000,16,256,667,1000,0.3,client,online,round0,0.0009878819982986897
1000,16,256,667,1000,0.3,client,online,round0,0.0009655739995650947
1000,16,256,667,1000,0.3,client,online,round0,0.000986639002803713
1000,16,256,667,1000,0.3,client,online,round0,0.0009640220087021589
1000,16,256,667,1000,0.3,client,online,round0,0.0009336619987152517
1000,16,256,667,1000,0.3,client,online,round0,0.0009620249911677092
1000,16,256,667,1000,0.3,client,online,round0,0.0009832979994826019
1000,16,256,667,1000,0.3,client,online,round0,0.0009492009994573891
1000,16,256,667,1000,0.3,client,online,round0,0.0010675520170480013
1000,16,256,667,1000,0.3,client,online,round0,0.0010449460241943598
1000,16,256,667,1000,0.3,client,online,round0,0.000973408023128286
1000,16,256,667,1000,0.3,client,online,round0,0.0010428910027258098
1000,16,256,667,1000,0.3,client,online,round0,0.0010047289833892137
1000,16,256,667,1000,0.3,client,online,round0,0.0009948890074156225
1000,16,256,667,1000,0.3,client,online,round0,0.0009791709890123457
1000,16,256,667,1000,0.3,client,online,round0,0.0009676619956735522
1000,16,256,667,1000,0.3,client,online,round0,0.0009842320287134498
1000,16,256,667,1000,0.3,client,online,round0,0.0010004310170188546
1000,16,256,667,1000,0.3,client,online,round0,0.0010004180076066405
1000,16,256,667,1000,0.3,client,online,round0,0.0009115180000662804
1000,16,256,667,1000,0.3,client,online,round0,0.0009998380264732987
1000,16,256,667,1000,0.3,client,online,round0,0.000933386996621266
1000,16,256,667,1000,0.3,client,online,round0,0.0009288430155720562
1000,16,256,667,1000,0.3,client,online,round0,0.0010173170012421906
1000,16,256,667,1000,0.3,client,online,round0,0.0009191290009766817
1000,16,256,667,1000,0.3,client,online,round0,0.0010347340139560401
1000,16,256,667,1000,0.3,client,online,round0,0.001009655010420829
1000,16,256,667,1000,0.3,client,online,round0,0.000990472995908931
1000,16,256,667,1000,0.3,client,online,round0,0.0009067410137504339
1000,16,256,667,1000,0.3,client,online,round0,0.0010695189994294196
1000,16,256,667,1000,0.3,client,online,round0,0.0008971650095190853
1000,16,256,667,1000,0.3,client,online,round0,0.0009614419832359999
1000,16,256,667,1000,0.3,client,online,round0,0.000992756977211684
1000,16,256,667,1000,0.3,client,online,round0,0.0009248009882867336
1000,16,256,667,1000,0.3,client,online,round0,0.0009634449961595237
1000,16,256,667,1000,0.3,client,online,round0,0.0009857809927780181
1000,16,256,667,1000,0.3,client,online,round0,0.0008806219848338515
1000,16,256,667,1000,0.3,client,online,round0,0.0009873660164885223
1000,16,256,667,1000,0.3,client,online,round0,0.001002807985059917
1000,16,256,667,1000,0.3,client,online,round0,0.0009327690058853477
1000,16,256,667,1000,0.3,client,online,round0,0.0009786149894353002
1000,16,256,667,1000,0.3,client,online,round0,0.0009407030011061579
1000,16,256,667,1000,0.3,client,online,round0,0.0010131740127690136
1000,16,256,667,1000,0.3,client,online,round0,0.0009719649970065802
1000,16,256,667,1000,0.3,client,online,round0,0.0010326720075681806
1000,16,256,667,1000,0.3,client,online,round0,0.0009457929991185665
1000,16,256,667,1000,0.3,client,online,round0,0.0011089979961980134
1000,16,256,667,1000,0.3,client,online,round0,0.0010020339977927506
1000,16,256,667,1000,0.3,client,online,round0,0.0011155639949720353
1000,16,256,667,1000,0.3,client,online,round0,0.0009382309799548239
1000,16,256,667,1000,0.3,client,online,round0,0.0010301940201316029
1000,16,256,667,1000,0.3,client,online,round0,0.0009216979960910976
1000,16,256,667,1000,0.3,client,online,round0,0.0008959599945228547
1000,16,256,667,1000,0.3,client,online,round0,0.0009432650113012642
1000,16,256,667,1000,0.3,client,online,round0,0.0009407110046595335
1000,16,256,667,1000,0.3,client,online,round0,0.0009173679864034057
1000,16,256,667,1000,0.3,client,online,round0,0.0010138899961020797
1000,16,256,667,1000,0.3,client,online,round0,0.000927596993278712
1000,16,256,667,1000,0.3,client,online,round0,0.0009857490076683462
1000,16,256,667,1000,0.3,client,online,round0,0.0010027989919763058
1000,16,256,667,1000,0.3,client,online,round0,0.0009515430137980729
1000,16,256,667,1000,0.3,client,online,round0,0.0010388510127086192
1000,16,256,667,1000,0.3,client,online,round0,0.0010241169948130846
1000,16,256,667,1000,0.3,client,online,round0,0.0010520849900785834
1000,16,256,667,1000,0.3,client,online,round0,0.0009196199825964868
1000,16,256,667,1000,0.3,client,online,round0,0.000991078995866701
1000,16,256,667,1000,0.3,client,online,round0,0.0009302780090365559
1000,16,256,667,1000,0.3,client,online,round0,0.0009566039952915162
1000,16,256,667,1000,0.3,client,online,round0,0.001029933016980067
1000,16,256,667,1000,0.3,client,online,round0,0.0009573069983161986
1000,16,256,667,1000,0.3,client,online,round0,0.0009551900147926062
1000,16,256,667,1000,0.3,client,online,round0,0.001003149984171614
1000,16,256,667,1000,0.3,client,online,round0,0.0009269090078305453
1000,16,256,667,1000,0.3,client,online,round0,0.0009311150060966611
1000,16,256,667,1000,0.3,client,online,round0,0.0009984200005419552
1000,16,256,667,1000,0.3,client,online,round0,0.0009562239865772426
