dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
100000,16,256,400,600,0.1,client,online,round0,0.015464016003534198
100000,16,256,400,600,0.1,client,online,round0,0.0012599059846252203
100000,16,256,400,600,0.1,client,online,round0,0.0011371539440006018
100000,16,256,400,600,0.1,client,online,round0,0.0013186100404709578
100000,16,256,400,600,0.1,client,online,round0,0.0013416510773822665
100000,16,256,400,600,0.1,client,online,round0,0.0022413129918277264
100000,16,256,400,600,0.1,client,online,round0,0.0013800699962303042
100000,16,256,400,600,0.1,client,online,round0,0.0012438070261850953
100000,16,256,400,600,0.1,client,online,round0,0.001145975082181394
100000,16,256,400,600,0.1,client,online,round0,0.001068438054062426
100000,16,256,400,600,0.1,client,online,round0,0.0009935939451679587
100000,16,256,400,600,0.1,client,online,round0,0.0010155829368159175
100000,16,256,400,600,0.1,client,online,round0,0.001040332019329071
100000,16,256,400,600,0.1,client,online,round0,0.0009953210828825831
100000,16,256,400,600,0.1,client,online,round0,0.0012492570094764233
100000,16,256,400,600,0.1,client,online,round0,0.0012017360422760248
100000,16,256,400,600,0.1,client,online,round0,0.0012454469688236713
100000,16,256,400,600,0.1,client,online,round0,0.0012640199856832623
100000,16,256,400,600,0.1,client,online,round0,0.0013754710089415312
100000,16,256,400,600,0.1,client,online,round0,0.0013634699862450361
100000,16,256,400,600,0.1,client,online,round0,0.0012014650274068117
100000,16,256,400,600,0.1,client,online,round0,0.0012664839159697294
100000,16,256,400,600,0.1,client,online,round0,0.0011574510717764497
100000,16,256,400,600,0.1,client,online,round0,0.002335369004867971
100000,16,256,400,600,0.1,client,online,round0,0.0012973009143024683
100000,16,256,400,600,0.1,client,online,round0,0.0017092539928853512
100000,16,256,400,600,0.1,client,online,round0,0.0012360659893602133
100000,16,256,400,600,0.1,client,online,round0,0.0012890970101580024
100000,16,256,400,600,0.1,client,online,round0,0.12505164102185518
100000,16,256,400,600,0.1,client,online,round0,0.0010781869059428573
100000,16,256,400,600,0.1,client,online,round0,0.0014184298925101757
100000,16,256,400,600,0.1,client,online,round0,0.0011613430688157678
100000,16,256,400,600,0.1,client,online,round0,0.001368552097119391
100000,16,256,400,600,0.1,client,online,round0,0.0012351489858701825
100000,16,256,400,600,0.1,client,online,round0,0.0014597289264202118
100000,16,256,400,600,0.1,client,online,round0,0.001339851994998753
100000,16,256,400,600,0.1,client,online,round0,0.0014364200178533792
100000,16,256,400,600,0.1,client,online,round0,0.00127823103684932
100000,16,256,400,600,0.1,client,online,round0,0.0016702549764886498
100000,16,256,400,600,0.1,client,online,round0,0.0012443630257621408
100000,16,256,400,600,0.1,client,online,round0,0.0011266819201409817
100000,16,256,400,600,0.1,client,online,round0,0.0011747650569304824
100000,16,256,400,600,0.1,client,online,round0,0.0011897649383172393
100000,16,256,400,600,0.1,client,online,round0,0.0013187520671635866
100000,16,256,400,600,0.1,client,online,round0,0.0013288130285218358
100000,16,256,400,600,0.1,client,online,round0,0.0013883259380236268
100000,16,256,400,600,0.1,client,online,round0,0.0013618029188364744
100000,16,256,400,600,0.1,client,online,round0,0.0014397820923477411
100000,16,256,400,600,0.1,client,online,round0,0.001559323980472982
100000,16,256,400,600,0.1,client,online,round0,0.0010901779169216752
100000,16,256,400,600,0.1,client,online,round0,0.001108136959373951
100000,16,256,400,600,0.1,client,online,round0,0.0010164899285882711
100000,16,256,400,600,0.1,client,online,round0,0.0012039690045639873
100000,16,256,400,600,0.1,client,online,round0,0.001194432028569281
100000,16,256,400,600,0.1,client,online,round0,0.0016094750026240945
100000,16,256,400,600,0.1,client,online,round0,0.0014813890447840095
100000,16,256,400,600,0.1,client,online,round0,0.0015814059879630804
100000,16,256,400,600,0.1,client,online,round0,0.0013118720380589366
100000,16,256,400,600,0.1,client,online,round0,0.001355131040327251
100000,16,256,400,600,0.1,client,online,round0,0.0017061469843611121
100000,16,256,400,600,0.1,client,online,round0,0.001247289008460939
100000,16,256,400,600,0.1,client,online,round0,0.0014500640099868178
100000,16,256,400,600,0.1,client,online,round0,0.0011353889713063836
100000,16,256,400,600,0.1,client,online,round0,0.001025225967168808
100000,16,256,400,600,0.1,client,online,round0,0.0012532450491562486
100000,16,256,400,600,0.1,client,online,round0,0.006291625904850662
100000,16,256,400,600,0.1,client,online,round0,0.0016301879659295082
100000,16,256,400,600,0.1,client,online,round0,0.001590105937793851
100000,16,256,400,600,0.1,client,online,round0,0.0017481599934399128
100000,16,256,400,600,0.1,client,online,round0,0.0013577790232375264
100000,16,256,400,600,0.1,client,online,round0,0.001358947018161416
100000,16,256,400,600,0.1,client,online,round0,0.0012934840051457286
100000,16,256,400,600,0.1,client,online,round0,0.0015214349841699004
100000,16,256,400,600,0.1,client,online,round0,0.0013298449339345098
100000,16,256,400,600,0.1,client,online,round0,0.0013666870072484016
100000,16,256,400,600,0.1,client,online,round0,0.002046103007160127
100000,16,256,400,600,0.1,client,online,round0,0.0012502629542723298
100000,16,256,400,600,0.1,client,online,round0,0.001116134924814105
100000,16,256,400,600,0.1,client,online,round0,0.0011122790165245533
100000,16,256,400,600,0.1,client,online,round0,0.0013191340258345008
100000,16,256,400,600,0.1,client,online,round0,0.0015000189887359738
100000,16,256,400,600,0.1,client,online,round0,0.002825569943524897
100000,16,256,400,600,0.1,client,online,round0,0.0012238469207659364
100000,16,256,400,600,0.1,client,online,round0,0.0011955680092796683
100000,16,256,400,600,0.1,client,online,round0,0.0015684630488976836
100000,16,256,400,600,0.1,client,online,round0,0.0033660270273685455
100000,16,256,400,600,0.1,client,online,round0,0.0013499179622158408
100000,16,256,400,600,0.1,client,online,round0,0.0012152910931035876
100000,16,256,400,600,0.1,client,online,round0,0.0012429819907993078
100000,16,256,400,600,0.1,client,online,round0,0.0040164540987461805
100000,16,256,400,600,0.1,client,online,round0,0.0013682369608432055
100000,16,256,400,600,0.1,client,online,round0,0.0015127999940887094
100000,16,256,400,600,0.1,client,online,round0,0.0017344949301332235
100000,16,256,400,600,0.1,client,online,round0,0.0015739690279588103
100000,16,256,400,600,0.1,client,online,round0,0.0011399650247767568
100000,16,256,400,600,0.1,client,online,round0,0.001087864045985043
100000,16,256,400,600,0.1,client,online,round0,0.0011508370516821742
100000,16,256,400,600,0.1,client,online,round0,0.0015138499438762665
100000,16,256,400,600,0.1,client,online,round0,0.0012137170415371656
100000,16,256,400,600,0.1,client,online,round0,0.0013652730267494917
100000,16,256,400,600,0.1,client,online,round0,0.001509001012891531
100000,16,256,400,600,0.1,client,online,round0,0.0016717780381441116
100000,16,256,400,600,0.1,client,online,round0,0.0019012719858437777
100000,16,256,400,600,0.1,client,online,round0,0.00129235303029418
100000,16,256,400,600,0.1,client,online,round0,0.0013334810500964522
100000,16,256,400,600,0.1,client,online,round0,0.0013849680544808507
100000,16,256,400,600,0.1,client,online,round0,0.0027383139822632074
100000,16,256,400,600,0.1,client,online,round0,0.0036535260733217
100000,16,256,400,600,0.1,client,online,round0,0.0014062400441616774
100000,16,256,400,600,0.1,client,online,round0,0.0011830870062112808
