dimension,inputsize,keysize,threshold,nclients,dropout,entity,phase,round,time
100000,16,256,134,200,0.1,client,online,round0,0.017373672999383416
100000,16,256,134,200,0.1,client,online,round0,0.0011824109988083364
100000,16,256,134,200,0.1,client,online,round0,0.0010705460008466616
100000,16,256,134,200,0.1,client,online,round0,0.0011395190012990497
100000,16,256,134,200,0.1,client,online,round0,0.0011662870001600822
100000,16,256,134,200,0.1,client,online,round0,0.0011695009998220485
100000,16,256,134,200,0.1,client,online,round0,0.0011635770006250823
100000,16,256,134,200,0.1,client,online,round0,0.0010952669999824138
100000,16,256,134,200,0.1,client,online,round0,0.0010783079997054301
100000,16,256,134,200,0.1,client,online,round0,0.0011700760005624034
100000,16,256,134,200,0.1,client,online,round0,0.0011317810003674822
100000,16,256,134,200,0.1,client,online,round0,0.0010459299992362503
100000,16,256,134,200,0.1,client,online,round0,0.00103798600139271
100000,16,256,134,200,0.1,client,online,round0,0.0012103919998480706
100000,16,256,134,200,0.1,client,online,round0,0.0011800769989349646
100000,16,256,134,200,0.1,client,online,round0,0.0011065900016546948
100000,16,256,134,200,0.1,client,online,round0,0.0011543119999259943
100000,16,256,134,200,0.1,client,online,round0,0.0011679519993776921
100000,16,256,134,200,0.1,client,online,round0,0.001106907999201212
100000,16,256,134,200,0.1,client,online,round0,0.0011195530005352339
100000,16,256,134,200,0.1,client,online,round0,0.00110461700023734
100000,16,256,134,200,0.1,client,online,round0,0.0010959049996017711
100000,16,256,134,200,0.1,client,online,round0,0.0012071710007148795
100000,16,256,134,200,0.1,client,online,round0,0.0009995839991461253
100000,16,256,134,200,0.1,client,online,round0,0.03299403799974243
100000,16,256,134,200,0.1,client,online,round0,0.001040824001393048
100000,16,256,134,200,0.1,client,online,round0,0.00103524699989066
100000,16,256,134,200,0.1,client,online,round0,0.0011019520006811945
100000,16,256,134,200,0.1,client,online,round0,0.001104396000300767
100000,16,256,134,200,0.1,client,online,round0,0.0011221209988434566
100000,16,256,134,200,0.1,client,online,round0,0.0011527459992066724
100000,16,256,134,200,0.1,client,online,round0,0.0010560150003584567
100000,16,256,134,200,0.1,client,online,round0,0.0011760079996747663
100000,16,256,134,200,0.1,client,online,round0,0.0011628349984675879
100000,16,256,134,200,0.1,client,online,round0,0.0011475629999040393
100000,16,256,134,200,0.1,client,online,round0,0.0012183579983684467
100000,16,256,134,200,0.1,client,online,round0,0.0010570819995336933
100000,16,256,134,200,0.1,client,online,round0,0.001016259999232716
100000,16,256,134,200,0.1,client,online,round0,0.0011510160002217162
100000,16,256,134,200,0.1,client,online,round0,0.0011081509983341675
100000,16,256,134,200,0.1,client,online,round0,0.0010330089990020497
100000,16,256,134,200,0.1,client,online,round0,0.0011295679996692343
100000,16,256,134,200,0.1,client,online,round0,0.000931949000005261
100000,16,256,134,200,0.1,client,online,round0,0.0011115600009361515
100000,16,256,134,200,0.1,client,online,round0,0.0011036310006602434
100000,16,256,134,200,0.1,client,online,round0,0.0010605139996187063
100000,16,256,134,200,0.1,client,online,round0,0.001014294000924565
100000,16,256,134,200,0.1,client,online,round0,0.0010701650007831631
100000,16,256,134,200,0.1,client,online,round0,0.0010986260003846837
100000,16,256,134,200,0.1,client,online,round0,0.0011409230010031024
100000,16,256,134,200,0.1,client,online,round0,0.0010196010007348377
100000,16,256,134,200,0.1,client,online,round0,0.0019432950011832872
100000,16,256,134,200,0.1,client,online,round0,0.0011506589999044081
100000,16,256,134,200,0.1,client,online,round0,0.041041340000447235
100000,16,256,134,200,0.1,client,online,round0,0.0010483349997230107
100000,16,256,134,200,0.1,client,online,round0,0.0011485390004963847
100000,16,256,134,200,0.1,client,online,round0,0.0011614159993769135
100000,16,256,134,200,0.1,client,online,round0,0.0010985520002577687
100000,16,256,134,200,0.1,client,online,round0,0.0011834149991045706
100000,16,256,134,200,0.1,client,online,round0,0.0012657480001507793
100000,16,256,134,200,0.1,client,online,round0,0.0010716569995565806
100000,16,256,134,200,0.1,client,online,round0,0.0010774269994726637
100000,16,256,134,200,0.1,client,online,round0,0.001162694999948144
100000,16,256,134,200,0.1,client,online,round0,0.0011511509983392898
100000,16,256,134,200,0.1,client,online,round0,0.0011558969999896362
100000,16,256,134,200,0.1,client,online,round0,0.0010941979999188334
100000,16,256,134,200,0.1,client,online,round0,0.0010329730012017535
100000,16,256,134,200,0.1,client,online,round0,0.0010764920007204637
100000,16,256,134,200,0.1,client,online,round0,0.0011046090003219433
100000,16,256,134,200,0.1,client,online,round0,0.0010901829991780687
100000,16,256,134,200,0.1,client,online,round0,0.0010613960002956446
100000,16,256,134,200,0.1,client,online,round0,0.0011365600003045984
100000,16,256,134,200,0.1,client,online,round0,0.0011139280013594544
100000,16,256,134,200,0.1,client,online,round0,0.0010784179994516307
100000,16,256,134,200,0.1,client,online,round0,0.00126488000023528
100000,16,256,134,200,0.1,client,online,round0,0.001208237999890116
100000,16,256,134,200,0.1,client,online,round0,0.001137203000325826
100000,16,256,134,200,0.1,client,online,round0,0.0010392329986643745
100000,16,256,134,200,0.1,client,online,round0,0.0011160560006828746
100000,16,256,134,200,0.1,client,online,round0,0.0010127200002898462
100000,16,256,134,200,0.1,client,online,round0,0.0011254700002609752
100000,16,256,134,200,0.1,client,online,round0,0.0011800459997175494
100000,16,256,134,200,0.1,client,online,round0,0.0010581090009509353
100000,16,256,134,200,0.1,client,online,round0,0.0010044259997812333
100000,16,256,134,200,0.1,client,online,round0,0.0010411650000605732
100000,16,256,134,200,0.1,client,online,round0,0.0011380760006431956
100000,16,256,134,200,0.1,client,online,round0,0.0010671119998733047
100000,16,256,134,200,0.1,client,online,round0,0.001012897000691737
100000,16,256,134,200,0.1,client,online,round0,0.0010288100002071587
100000,16,256,134,200,0.1,client,online,round0,0.0009537919995636912
100000,16,256,134,200,0.1,client,online,round0,0.0010892110003624111
100000,16,256,134,200,0.1,client,online,round0,0.001130324999394361
100000,16,256,134,200,0.1,client,online,round0,0.0011223439996683737
100000,16,256,134,200,0.1,client,online,round0,0.0010661229989636922
100000,16,256,134,200,0.1,client,online,round0,0.0010426089993416099
100000,16,256,134,200,0.1,client,online,round0,0.0010416370005259523
100000,16,256,134,200,0.1,client,online,round0,0.001018049000776955
100000,16,256,134,200,0.1,client,online,round0,0.0010308000000804896
100000,16,256,134,200,0.1,client,online,round0,0.00112806800098042
100000,16,256,134,200,0.1,client,online,round0,0.0011619449996942421
100000,16,256,134,200,0.1,client,online,round0,0.0011835009991045808
100000,16,256,134,200,0.1,client,online,round0,0.0011375100002624094
100000,16,256,134,200,0.1,client,online,round0,0.0010096109999722103
100000,16,256,134,200,0.1,client,online,round0,0.001041266999891377
100000,16,256,134,200,0.1,client,online,round0,0.0011658410003292374
100000,16,256,134,200,0.1,client,online,round0,0.0011757060001400532
100000,16,256,134,200,0.1,client,online,round0,0.0011039919991162606
100000,16,256,134,200,0.1,client,online,round0,0.0012031980004394427
100000,16,256,134,200,0.1,client,online,round0,0.000991220000287285
100000,16,256,134,200,0.1,client,online,round0,0.0010798470011650352
100000,16,256,134,200,0.1,client,online,round0,0.0010894240003835876
100000,16,256,134,200,0.1,client,online,round0,0.0010765369988803286
100000,16,256,134,200,0.1,client,online,round0,0.0010879120000026887
100000,16,256,134,200,0.1,client,online,round0,0.001111522000428522
100000,16,256,134,200,0.1,client,online,round0,0.0012603939994733082
100000,16,256,134,200,0.1,client,online,round0,0.0010346560011385009
100000,16,256,134,200,0.1,client,online,round0,0.0009874970000964822
100000,16,256,134,200,0.1,client,online,round0,0.0010303899998689303
100000,16,256,134,200,0.1,client,online,round0,0.0009744559993123403
100000,16,256,134,200,0.1,client,online,round0,0.0009815230005187914
100000,16,256,134,200,0.1,client,online,round0,0.0010816389985848218
100000,16,256,134,200,0.1,client,online,round0,0.0010759990000224207
100000,16,256,134,200,0.1,client,online,round0,0.0009802280001167674
100000,16,256,134,200,0.1,client,online,round0,0.0011700229988491628
100000,16,256,134,200,0.1,client,online,round0,0.001006301999950665
100000,16,256,134,200,0.1,client,online,round0,0.0009510109994153026
100000,16,256,134,200,0.1,client,online,round0,0.0011330739998811623
100000,16,256,134,200,0.1,client,online,round0,0.0011243290009588236
100000,16,256,134,200,0.1,client,online,round0,0.0011140299993712688
100000,16,256,134,200,0.1,client,online,round0,0.0011081039992859587
100000,16,256,134,200,0.1,client,online,round0,0.0010900220004259609
100000,16,256,134,200,0.1,client,online,round0,0.0011582750012166798
100000,16,256,134,200,0.1,client,online,round0,0.0010727349999797298
100000,16,256,134,200,0.1,client,online,round0,0.001084334999177372
100000,16,256,134,200,0.1,client,online,round0,0.001179206999950111
